//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-170.96800232,51.09999847,3.18700004,110,97,80,0.000000,40.000000,-140682.937500,1.000000,3.000000,65.000000,1.000000
-171.11999512,50.83000183,0.77100003,146,117,101,0.000000,12.000000,-140682.937500,2.000000,3.000000,53.000000,1.000000
-173.86300659,55.75099945,1.72800004,134,121,79,0.000000,16.000000,-140682.937500,1.000000,2.000000,58.000000,1.000000
-170.19200134,50.79399872,3.12100005,152,127,105,0.000000,6.000000,-140682.937500,1.000000,2.000000,65.000000,1.000000
-173.08999634,55.45800018,1.69099998,148,128,95,0.000000,37.000000,-140682.937500,1.000000,2.000000,58.000000,1.000000
-169.67900085,50.71799850,3.14899993,126,111,78,0.000000,15.000000,-140682.921875,1.000000,3.000000,65.000000,1.000000
-169.82899475,50.44599915,0.72000003,116,100,67,0.000000,37.000000,-140682.921875,2.000000,3.000000,53.000000,1.000000
-169.27999878,50.32199860,0.70499998,123,99,89,0.000000,20.000000,-140682.921875,1.000000,3.000000,53.000000,1.000000
-168.39599609,50.24200058,3.07200003,123,97,82,0.000000,26.000000,-140682.906250,1.000000,2.000000,65.000000,1.000000
-171.28999329,54.89500046,1.59099996,144,117,96,0.000000,34.000000,-140682.906250,1.000000,2.000000,57.000000,1.000000
-167.95500183,49.93600082,0.58600003,115,97,83,0.000000,7.000000,-140682.906250,1.000000,2.000000,53.000000,1.000000
-170.54499817,54.60400009,1.59500003,144,124,87,0.000000,18.000000,-140682.906250,1.000000,2.000000,57.000000,1.000000
-167.16900635,49.86299896,3.02600002,146,119,100,0.000000,39.000000,-140682.890625,1.000000,2.000000,65.000000,1.000000
-167.74000549,51.41099930,5.66499996,147,136,80,0.000000,7.000000,-140682.890625,1.000000,2.000000,78.000000,1.000000
-170.06100464,54.51599884,1.54200006,137,117,90,0.000000,17.000000,-140682.890625,1.000000,2.000000,57.000000,1.000000
-166.61799622,49.73199844,2.98399997,113,94,77,0.000000,32.000000,-140682.890625,1.000000,3.000000,65.000000,1.000000
-166.75799561,49.46200180,0.59100002,123,108,87,0.000000,21.000000,-140682.890625,2.000000,3.000000,53.000000,1.000000
-166.13900757,49.35499954,0.57200003,133,119,93,0.000000,6.000000,-140682.875000,1.000000,2.000000,53.000000,1.000000
-168.74899292,54.04199982,1.51400006,184,151,136,0.000000,25.000000,-140682.875000,1.000000,2.000000,57.000000,1.000000
-165.38999939,49.06399918,0.54900002,113,109,80,0.000000,38.000000,-140682.875000,1.000000,2.000000,53.000000,1.000000
-167.53100586,53.66299820,1.46399999,133,118,85,0.000000,20.000000,-140682.859375,1.000000,2.000000,57.000000,1.000000
-164.09899902,48.85800171,2.94700003,122,102,78,0.000000,9.000000,-140682.859375,1.000000,2.000000,65.000000,1.000000
-166.99600220,53.52500153,1.44799995,139,123,98,0.000000,20.000000,-140682.859375,1.000000,2.000000,56.000000,1.000000
-163.50799561,48.77000046,2.88000011,115,95,88,0.000000,8.000000,-140682.859375,1.000000,3.000000,64.000000,1.000000
-163.64300537,48.49599838,0.47499999,113,97,72,0.000000,33.000000,-140682.859375,2.000000,3.000000,52.000000,1.000000
-162.73599243,48.48199844,2.81699991,130,110,85,0.000000,26.000000,-140682.843750,1.000000,3.000000,64.000000,1.000000
